catalogNumber,genus,specificEpithet,eventDate,country,stateProvince,county,species,commonName
AUGIEENTB0000047,Hippodamia,parenthesis,2021-07-06,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000048,Hippodamia,parenthesis,2021-07-06,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000049,Hippodamia,parenthesis,2021-07-06,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000050,Hippodamia,parenthesis,2021-07-06,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000051,Hippodamia,parenthesis,2021-07-06,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000052,Hippodamia,parenthesis,2021-07-06,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000053,Hippodamia,parenthesis,2021-07-06,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000054,Coccinella,septempunctata,2021-07-06,United States,Iowa,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000055,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000056,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000057,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000058,Cycloneda,munda,2021-07-06,United States,IA,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000059,Hippodamia,parenthesis,2021-07-06,United States,IA,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000060,Hyperaspis,undulata,2021-07-06,United States,IA,Scott,Hyperaspis undulata,Undulate Lady Beetle
AUGIEENTB0000061,Hyperaspis,undulata,2021-07-06,United States,IA,Scott,Hyperaspis undulata,Undulate Lady Beetle
AUGIEENTB0000062,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000063,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000064,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000071,Coleomegilla,maculata,2021-07-07,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000065,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000072,Coleomegilla,maculata,2021-07-07,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000073,Coleomegilla,maculata,2021-07-07,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000066,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000074,Coleomegilla,maculata,2021-07-07,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000075,Coleomegilla,maculata,2021-07-07,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000076,Hippodamia,parenthesis,2021-07-07,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000067,Coccinella,septempunctata,2021-07-07,United States,IA,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000077,Hippodamia,parenthesis,2021-07-07,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000078,Hippodamia,parenthesis,2021-07-07,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000068,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000079,Hippodamia,parenthesis,2021-07-07,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000080,Hippodamia,parenthesis,2021-07-07,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000069,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000081,Hippodamia,convergens,2021-07-07,United States,Iowa,Scott,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTB0000082,Coleomegilla,maculata,2021-07-07,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000070,Cycloneda,munda,2021-07-07,United States,IA,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000083,Hippodamia,parenthesis,2021-07-07,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000090,Cycloneda,munda,2021-07-07,United States,IA,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000084,Cycloneda,munda,2021-07-07,United States,Iowa,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000085,Coleomegilla,maculata,2021-07-07,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000091,Cycloneda,munda,2021-07-07,United States,IA,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000086,Propylea,quatuordecimpunctata,2021-07-07,United States,Iowa,Scott,Propylea quatuordecimpunctata,Fourteen-spotted Ladybug
AUGIEENTB0000092,Cycloneda,munda,2021-07-07,United States,IA,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000087,Cycloneda,munda,2021-07-07,United States,Iowa,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000093,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000088,Harmonia,axyridis,2021-07-07,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000094,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000089,Coleomegilla,maculata,2021-07-07,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000096,Coleomegilla,maculata,2021-07-07,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000095,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000097,Coleomegilla,maculata,2021-07-07,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000106,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000107,Cycloneda,munda,2021-07-07,United States,IA,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000098,Coleomegilla,maculata,2021-07-07,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000099,Coleomegilla,maculata,2021-07-07,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000108,Cycloneda,munda,2021-07-07,United States,IA,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000100,Coleomegilla,maculata,2021-07-07,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000101,Coleomegilla,maculata,2021-07-07,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000109,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000102,Cycloneda,munda,2021-07-07,United States,Iowa,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000110,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000104,Coleomegilla,maculata,2021-07-07,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000111,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000105,Psyllobora,vigintimaculata,2021-07-07,United States,Iowa,Scott,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTB0000112,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000113,Cycloneda,munda,2021-07-07,United States,Ia,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000114,Coleomegilla,maculata,2021-07-07,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000115,Hippodamia,variegata,2021-07-07,United States,Iowa,Scott,Hippodamia variegata,Adonis Ladybird
AUGIEENTB0000116,Coleomegilla,maculata,2021-07-07,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000117,Hippodamia,variegata,2021-07-07,United States,Iowa,Scott,Hippodamia variegata,Adonis Ladybird
AUGIEENTB0000118,Coleomegilla,maculata,2021-07-08,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000119,Coleomegilla,maculata,2021-07-08,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000120,Coleomegilla,maculata,2021-07-08,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000121,Coleomegilla,maculata,2021-07-08,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000122,Coleomegilla,maculata,2021-07-08,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000123,Coleomegilla,maculata,2021-07-08,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000124,Cycloneda,munda,2021-07-08,United States,IL,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000125,Coleomegilla,maculata,2021-07-08,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000126,Coleomegilla,maculata,2021-07-08,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000127,Propylea,quatuordecimpunctata,2021-07-08,United States,IL,Rock Island,Propylea quatuordecimpunctata,Fourteen-spotted Ladybug
AUGIEENTB0000129,Coleomegilla,maculata,2021-07-08,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000130,Coleomegilla,maculata,2021-07-08,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000131,Coleomegilla,maculata,2021-07-08,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000132,Coleomegilla,maculata,2021-07-08,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000133,Coleomegilla,maculata,2021-07-08,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000134,Harmonia,axyridis,2021-07-08,United States,IL,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000135,Hippodamia,parenthesis,2021-07-08,United States,IL,Rock Island,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000136,Cycloneda,munda,2021-07-08,United States,IL,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000137,Cycloneda,munda,2021-07-08,United States,IL,Rock Island,Cycloneda munda,Polished Lady Beetle
Cycloneda munda	AUGIEENTB0000141,Chilocorus,stigma,2021-07-08,United States,IL,Rock Island,Chilocorus stigma,Twice Stabbed Ladybug
AUGIEENTB0000139,Brachiacantha,ursina,2021-07-08,United States,IL,Rock Island,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUGIEENTB0000140,Psyllobora,vigintimaculata,2021-07-08,United States,IL,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTB0000141,Chilocorus,stigma,2021-07-08,United States,IL,Rock Island,Chilocorus stigma,Twice Stabbed Ladybug
AUGIEENTB0000142,Hippodamia,parenthesis,2021-07-19,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000143,Hippodamia,parenthesis,2021-07-19,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000144,Hippodamia,parenthesis,2021-07-19,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000145,Coleomegilla,maculata,2021-07-19,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000146,Hippodamia,parenthesis,2021-07-19,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000147,Coccinella,septempunctata,2021-07-19,United States,Iowa,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000148,Coccinella,septempunctata,2021-07-19,United States,Iowa,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000149,Coleomegilla,maculata,2021-07-19,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000150,Coleomegilla,maculata,2021-07-19,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000151,Coleomegilla,maculata,2021-07-19,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000176,Coleomegilla,maculata,2021-07-19,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000152,Coleomegilla,maculata,2021-07-19,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000153,Coleomegilla,maculata,2021-07-19,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000177,Coleomegilla,maculata,2021-07-19,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000154,Coleomegilla,maculata,2021-07-19,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000178,Coleomegilla,maculata,2021-07-19,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000155,Hippodamia,variegata,2021-07-19,United States,Iowa,Scott,Hippodamia variegata,Adonis Ladybird
AUGIEENTB0000156,Hippodamia,parenthesis,2021-07-19,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000157,Hippodamia,parenthesis,2021-07-19,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000158,Cycloneda,munda,2021-07-19,United States,Iowa,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000179,Coleomegilla,maculata,2021-07-19,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000159,Harmonia,axyridis,2021-07-20,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000180,Cycloneda,munda,2021-07-19,United States,IA,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000181,Harmonia,axyridis,2021-07-19,United States,IA,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000160,Harmonia,axyridis,2021-07-20,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000161,Harmonia,axyridis,2021-07-20,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000182,Harmonia,axyridis,2021-07-20,United States,IL,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000162,Harmonia,axyridis,2021-07-20,United States,IL,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000163,Harmonia,axyridis,2021-07-20,United States,IL,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000164,Harmonia,axyridis,2021-07-20,United States,IL,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000165,Harmonia,axyridis,2021-07-19,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000166,Harmonia,axyridis,2021-07-19,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000167,Harmonia,axyridis,2021-07-19,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000168,Propylea,quatuordecimpunctata,2021-07-19,United States,Iowa,Scott,Propylea quatuordecimpunctata,Fourteen-spotted Ladybug
AUGIEENTB0000169,Coleomegilla,maculata,2021-07-19,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000170,Harmonia,axyridis,2021-07-19,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000171,Harmonia,axyridis,2021-07-19,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000172,Harmonia,axyridis,2021-07-19,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000173,Harmonia,axyridis,2021-07-19,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000174,Cycloneda,munda,2021-07-19,United States,Iowa,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000175,Hippodamia,convergens,2021-07-19,United States,Iowa,Scott,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTB0000183,Coccinella,septempunctata,2021-07-19,United States,Iowa,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000184,Coleomegilla,maculata,2021-07-19,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000185,Chilocorus,stigma,2021-07-19,United States,Iowa,Scott,Chilocorus stigma,Twice Stabbed Ladybug
AUGIEENTB0000186,Coleomegilla,maculata,2021-07-19,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000187,Cycloneda,munda,2021-07-20,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000188,Cycloneda,munda,2021-07-20,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000189,Propylea,quatuordecimpunctata,2021-07-20,United States,Illinois,Rock Island,Propylea quatuordecimpunctata,Fourteen-spotted Ladybug
AUGIEENTB0000190,Brachiacantha,ursina,2021-07-19,United States,Iowa,Scott,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUGIEENTB0000191,Brachiacantha,ursina,2021-07-20,United States,Iowa,Scott,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUGIEENTB0000192,Harmonia,axyridis,2021-07-21,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000193,Harmonia,axyridis,2021-07-21,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000194,Harmonia,axyridis,2021-07-21,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000195,Harmonia,axyridis,2021-07-21,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000196,Harmonia,axyridis,2021-07-21,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000197,Harmonia,axyridis,2021-07-21,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000198,Harmonia,axyridis,2021-07-21,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000199,Harmonia,axyridis,2021-07-21,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000200,Harmonia,axyridis,2021-07-21,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000201,Harmonia,axyridis,2021-07-21,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000202,Harmonia,axyridis,2021-07-21,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000203,Harmonia,axyridis,2021-07-21,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000204,Harmonia,axyridis,2021-07-21,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000205,Harmonia,axyridis,2021-07-21,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000206,Harmonia,axyridis,2021-07-21,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000207,Harmonia,axyridis,2021-07-21,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000208,Harmonia,axyridis,2021-07-21,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000209,Coccinella,septempunctata,2021-07-21,United States,Iowa,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000210,Coccinella,septempunctata,2021-07-21,United States,Iowa,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000211,Coccinella,septempunctata,2021-07-21,United States,Iowa,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000212,Coccinella,septempunctata,2021-07-21,United States,Iowa,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000213,Cycloneda,munda,2021-07-21,United States,Iowa,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000214,Hippodamia,parenthesis,2021-07-21,United States,Illinois,Rock Island,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000215,Propylea,quatuordecimpunctata,2021-07-21,United States,Iowa,Scott,Propylea quatuordecimpunctata,Fourteen-spotted Ladybug
AUGIEENTB0000216,Hippodamia,parenthesis,2021-07-21,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000217,Cycloneda,munda,2021-07-21,United States,Iowa,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000218,Psyllobora,vigintimaculata,2021-07-21,United States,Illinois,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTB0000219,Cycloneda,munda,2021-07-21,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000220,Harmonia,axyridis,2021-07-21,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000221,Coleomegilla,maculata,2021-07-21,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000222,Coleomegilla,maculata,2021-07-21,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000223,Coleomegilla,maculata,2021-07-21,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000224,Coleomegilla,maculata,2021-07-21,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000225,Coleomegilla,maculata,2021-07-21,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000226,Coleomegilla,maculata,2021-07-21,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000227,Coleomegilla,maculata,2021-07-21,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000228,Coleomegilla,maculata,2021-07-21,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000229,Coleomegilla,maculata,2021-07-21,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000232,Coleomegilla,maculata,2021-07-21,United States,Illinois,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000231,Harmonia,axyridis,2021-07-21,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000233,Brachiacantha,ursina,2021-07-19,United States,Iowa,Scott,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUGIEENTB0000249,Harmonia,axyridis,2021-08-03,United States,IA,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000250,Coleomegilla,maculata,2021-08-03,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000251,Cycloneda,munda,2021-08-03,United States,Iowa,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000252,Cycloneda,munda,2021-08-03,United States,IA,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000253,Harmonia,axyridis,2021-08-03,United States,IA,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000254,Chilocorus,stigma,2021-08-03,United States,IA,Scott,Chilocorus stigma,Twice Stabbed Ladybug
AUGIEENTB0000246,Coccinella,septempunctata,2021-08-03,United States,Iowa,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000255,Cycloneda,munda,2021-08-03,United States,IA,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000247,Coccinella,septempunctata,2021-08-03,United States,Iowa,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000248,Harmonia,axyridis,2021-08-03,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000236,Harmonia,axyridis,2021-08-03,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000237,Harmonia,axyridis,2021-08-03,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000238,Harmonia,axyridis,2021-08-03,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000239,Harmonia,axyridis,2021-08-03,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000256,Coleomegilla,maculata,2021-08-03,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000240,Cycloneda,munda,2021-08-03,United States,Iowa,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB000257,Hippodamia,convergens,2021-08-03,United States,IA,Scott,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTB0000241,Coccinella,septempunctata,2021-08-03,United States,Iowa,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000242,Harmonia,axyridis,2021-08-03,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000243,Harmonia,axyridis,2021-08-03,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000244,Hippodamia,parenthesis,2021-08-03,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000258,Harmonia,axyridis,2021-08-03,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000245,Propylea,quatuordecimpunctata,2021-08-03,United States,Iowa,Scott,Propylea quatuordecimpunctata,Fourteen-spotted Ladybug
AUGIEENTB0000259,Coleomegilla,maculata,2021-08-03,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000269,Harmonia,axyridis,2021-08-03,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000260,Propylea,quatuordecimpunctata,2021-08-03,United States,Iowa,Scott,Propylea quatuordecimpunctata,Fourteen-spotted Ladybug
AUGIEENTB0000270,Brachiacantha,ursina,2021-08-03,United States,Iowa,Scott,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUGIEENTB0000271,Brachiacantha,ursina,2021-08-03,United States,Iowa,Scott,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUGIEENTB0000235,Brachiacantha,ursina,2021-08-03,United States,Iowa,Scott,Brachiacantha ursina,Ursine Spurleg Lady Beetle
